label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38
classical,-243.3410186767578,123.1442642211914,-6.766283988952637,-2.7335944175720215,-4.721024513244629,3.8228979110717773,-15.353853225708008,-10.188300132751465,-9.97109603881836,-11.3235445022583,-8.273632049560547,-5.069060802459717,-10.228350639343262,-10.739045143127441,-6.162967205047607,-0.36557090282440186,-7.010290622711182,-4.948796272277832,-6.297680377960205,2.1072423458099365,0.3514363169670105,0.18322601914405823,0.20123602449893951,0.23030737042427063,0.4566778540611267,0.304554283618927,0.2600489556789398,0.3485105633735657,0.1598137468099594,0.13097162544727325,0.1728537231683731,0.32823628187179565,18.66615392134865,17.904450108529954,24.11621554449765,23.342783290602775,24.336208913604725,22.12653684515024,52.043789350216834
classical,-174.92930603027344,128.21575927734375,-11.257699966430664,14.008451461791992,-10.952346801757812,2.719456672668457,-4.371610164642334,-3.70713210105896,-6.3424859046936035,-5.888307094573975,-11.686112403869629,-5.510205268859863,-7.062136650085449,-8.041800498962402,-6.113418102264404,-4.771345138549805,-7.363044261932373,-2.2139811515808105,-3.143517255783081,7.535853385925293,0.4341561198234558,0.2016667276620865,0.1766400933265686,0.1751614362001419,0.38169801235198975,0.2803522050380707,0.18678997457027435,0.32104524970054626,0.16183799505233765,0.12440843135118484,0.18883442878723145,0.29118242859840393,18.303181421235003,16.36701670449937,24.106508641531743,23.964876356813964,22.831256400206307,23.290728543060766,50.79396686981813
classical,-168.42724609375,121.43965148925781,-17.466487884521484,20.521621704101562,-14.676398277282715,-1.6734308004379272,-0.6912620067596436,-1.9712908267974854,-7.48846435546875,-1.8267799615859985,-15.361932754516602,-10.402444839477539,-6.347518444061279,-9.271490097045898,-7.943032264709473,-6.174362659454346,-7.371119976043701,-4.498945713043213,-1.625541090965271,10.683670997619629,0.44581860303878784,0.18027083575725555,0.1632453054189682,0.15201270580291748,0.34432893991470337,0.2315036952495575,0.1712258756160736,0.4391744136810303,0.1882879137992859,0.10904894769191742,0.1815478652715683,0.36098653078079224,17.54592480329481,16.224447025334552,24.472288932196296,25.76323925604656,24.04685808721542,25.12056622712481,51.935409717330884
classical,-65.38117218017578,63.025115966796875,9.168793678283691,28.68132972717285,4.341011047363281,5.067805290222168,-5.173086643218994,-2.3233766555786133,-3.6697745323181152,0.021347252652049065,-5.729668140411377,2.853729248046875,-8.083746910095215,4.261122703552246,-5.3567352294921875,0.4222396910190582,-1.8689465522766113,2.3467447757720947,0.019033361226320267,-0.5874109268188477,0.3160906434059143,0.3164100646972656,0.38584843277931213,0.4403105676174164,0.37184399366378784,0.3821057975292206,0.3020136058330536,0.3679896593093872,0.3273513913154602,0.280653715133667,0.38738343119621277,0.28336337208747864,23.372138839645388,15.3951123259193,19.37376465676855,18.500655024597293,19.821573249490225,19.09728049847374,46.9964779780383
classical,-29.793859481811523,73.16244506835938,7.42156982421875,27.9610652923584,3.3694908618927,5.350142478942871,-4.427531719207764,3.2790567874908447,-6.10179328918457,0.4870491623878479,-3.2760136127471924,4.225429534912109,-4.356954574584961,6.396193981170654,-3.5889673233032227,-0.5618953108787537,-3.3849589824676514,-0.6212913393974304,-3.3299477100372314,-1.171480417251587,0.3879602253437042,0.3738476634025574,0.38356706500053406,0.47366759181022644,0.31658434867858887,0.3342137634754181,0.2938079237937927,0.3609560430049896,0.34691372513771057,0.2765182852745056,0.38988974690437317,0.29259008169174194,24.41148124348712,13.852935822280184,18.75972755201739,18.66814604440749,19.003396694793746,18.41111184509351,47.503208635835115
classical,-41.89277648925781,68.33338928222656,-0.16796572506427765,30.162492752075195,7.778071403503418,3.854613780975342,-3.593153238296509,2.0953352451324463,-6.255425930023193,0.7244402766227722,-4.102260589599609,3.1075782775878906,-3.835834503173828,6.040839672088623,-4.792343616485596,0.013007246889173985,-1.6324427127838135,0.9742635488510132,-0.9566323757171631,-0.9030905961990356,0.3628891110420227,0.35039833188056946,0.41652849316596985,0.44342041015625,0.2987127900123596,0.3135371506214142,0.2913739085197449,0.36991775035858154,0.325719952583313,0.2841140925884247,0.3759133219718933,0.2950538992881775,24.173651991780154,15.283168890361983,19.45096614902514,18.972403362701584,19.43883545564464,18.84081888870443,47.01389809754944
classical,-226.20069885253906,92.8014907836914,-77.96633911132812,-1.5700443983078003,-21.74843406677246,-24.088851928710938,-11.527850151062012,-39.73890686035156,-11.554165840148926,-9.360859870910645,-23.770292282104492,-4.025260925292969,-11.29386043548584,2.6357157230377197,3.939305543899536,4.119115352630615,-0.3646896481513977,4.241448402404785,6.521011829376221,9.682005882263184,0.25755560398101807,0.30705514550209045,0.15666088461875916,0.2465110868215561,0.13804857432842255,0.2080550342798233,0.18982692062854767,0.24710363149642944,0.6037801504135132,0.20980140566825867,0.17917786538600922,0.169362872838974,12.908911944780733,20.342953764963298,23.362912244758693,23.849806737938874,27.24707305616966,31.293286572558554,50.500720194176225
classical,-215.4621124267578,96.97613525390625,-82.80268096923828,1.4642099142074585,-23.821807861328125,-25.869382858276367,-11.10782241821289,-42.39699172973633,-12.701498031616211,-12.136961936950684,-21.439313888549805,-6.067330837249756,-7.594351768493652,5.535884857177734,6.595683574676514,6.038505554199219,-2.1789238452911377,4.675597667694092,5.121786117553711,9.981807708740234,0.26831600069999695,0.2744406759738922,0.12376277893781662,0.2164212167263031,0.1534426361322403,0.18783257901668549,0.1757621169090271,0.18444445729255676,0.4944734275341034,0.19564475119113922,0.15126903355121613,0.17417536675930023,13.716711412432963,21.07178664913509,24.77927627362269,25.223748723113008,28.311537429596243,30.954398509680143,49.57162618483404
classical,-217.4014434814453,93.52084350585938,-76.20320129394531,-1.6371525526046753,-22.09893226623535,-21.70475196838379,-12.292202949523926,-40.170875549316406,-11.892155647277832,-13.203814506530762,-23.010231018066406,-3.808377742767334,-7.478845119476318,4.669193267822266,7.421146869659424,4.304835319519043,-2.3492274284362793,2.8576717376708984,4.894724369049072,9.956068992614746,0.3529606759548187,0.306703120470047,0.13051073253154755,0.21147775650024414,0.13280640542507172,0.18982133269309998,0.18257251381874084,0.22494301199913025,0.48477691411972046,0.17091014981269836,0.15808893740177155,0.22569091618061066,13.903847549018316,20.433588755569946,24.109562975051695,24.57932979748452,27.652950091808083,30.53813391605136,50.500824231618864
hip hop,-96.06576538085938,74.99696350097656,-8.993785858154297,43.4303092956543,-1.5195215940475464,11.659310340881348,-10.286818504333496,4.687589645385742,-8.269852638244629,4.025564670562744,-8.719466209411621,3.1501898765563965,0.9749606847763062,0.11672944575548172,-2.3662500381469727,2.2459475994110107,-1.3258867263793945,2.70269513130188,-2.0634372234344482,-2.8589179515838623,0.46007004380226135,0.4041931927204132,0.4038313627243042,0.4150230586528778,0.4294155240058899,0.40597692131996155,0.4628148376941681,0.4503037929534912,0.421957790851593,0.496595174074173,0.4758062958717346,0.6358402371406555,17.06371205617207,14.80649558538163,18.468980358053912,17.57928815655796,17.0497239520477,17.071919023044554,50.42431119689468
